"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2165]DH17186","2","0","2","15","31","33","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2168]DH17057","0","0","0","12","1","58","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2168]DH17057","1","0","1","92","1","32","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2168]DH17057","2","0","2","11","1","34","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2169]DH17248","0","0","0","48","3","27","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2169]DH17248","1","0","1","110","5","105","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2169]DH17248","2","0","2","154","4","46","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2171]DH17259","0","0","0","27","2","38","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2171]DH17259","1","0","1","17","0","23","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2171]DH17259","2","0","2","60","6","36","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2172]DH17260","0","0","0","42","8","46","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2172]DH17260","2","0","2","47","4","23","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2173]DH17168","0","0","0","10","4","88","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2173]DH17168","1","0","1","40","3","22","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2173]DH17168","2","0","2","12","1","25","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2174]DH17264","1","0","1","80","9","152","6"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2174]DH17264","2","0","2","92","105","86","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2175]DH17164","0","0","0","40","3","27","6"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2175]DH17164","1","0","1","5","7","17","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2175]DH17164","2","0","2","1","2","35","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2176]DH17295","0","0","0","111","0","91","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2176]DH17295","1","0","1","79","0","53","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2176]DH17295","2","0","2","51","2","26","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2186]DH17102","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2186]DH17102","1","0","1","0","0","69","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2186]DH17102","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2187]DH17058","0","0","0","10","1","30","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2187]DH17058","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2187]DH17058","2","0","2","5","0","88","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2196]DH17078","0","0","0","15","0","35","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2196]DH17078","1","0","1","5","0","28","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2196]DH17078","2","0","2","9","1","34","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2197]DH17262","0","0","0","26","0","39","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2197]DH17262","1","0","1","154","3","111","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2197]DH17262","2","0","2","84","12","66","7"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2198]DH17243","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2198]DH17243","1","0","1","27","0","14","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2198]DH17243","2","0","2","11","6","33","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2199]DH17180","1","0","1","31","2","24","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2199]DH17180","2","0","2","60","13","58","7"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2200]DH17177","0","0","0","21","2","69","15"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2200]DH17177","1","0","1","69","2","44","1"
